source,target,weight
6229,5843,1
7855,2220,1
978,3131,1
3679,5035,1
7792,1506,1
3708,7048,1
4714,7407,1
5774,1232,1
255,7143,1
2047,224,1
3017,605,1
2270,5009,1
1485,4451,1
3465,5917,1
605,4802,1
6125,3730,1
1022,5513,1
3582,7551,1
6771,2838,1
3603,3574,1
7671,7229,1
1781,6836,1
7872,3204,1
3394,1780,1
1941,1498,1
4913,6527,1
316,5621,1
600,3929,1
2698,7830,1
1907,3188,1
7572,7940,1
2774,6756,1
1173,3574,1
2702,1064,1
7772,2931,1
1935,989,1
3772,1798,1
1416,5018,1
7355,2418,1
3049,136,1
1873,4463,1
536,2907,1
7147,4048,1
3016,7246,1
7620,7431,1
4573,7587,1
7379,5536,1
4585,680,2
1075,4069,1
5377,2799,1
6822,4838,1
3425,375,1
7623,5122,1
6353,7411,3
4369,800,1
1055,380,1
2535,6932,1
4792,1015,1
4244,6771,1
7367,5656,1
2507,3018,1
2799,5097,1
3002,5511,1
3294,7656,1
697,1611,1
1080,6034,1
6204,4766,1
5665,1054,1
3114,2776,1
4408,3612,1
278,5654,1
7738,1406,1
819,3226,1
3615,5217,1
336,7441,1
3478,3037,1
4122,4451,1
5896,7331,1
6423,4908,1
7625,2601,1
5356,696,1
7738,7839,1
5872,1962,1
3696,5243,1
4395,7898,1
1679,5565,1
3445,1674,1
3762,4878,1
5430,6351,1
6610,4433,1
5921,5654,1
567,5670,1
3409,5424,1
4699,3131,1
5095,989,1
893,6490,1
3784,1406,1
1172,6353,1
7458,7629,1
4654,1359,1
1238,5745,1
544,2954,1
561,936,1
701,6787,1
1639,5294,1
7543,7557,1
4122,5695,1
7120,6922,1
3708,2348,1
4902,5743,1
5835,3321,1
7890,3165,1
980,4216,1
3979,563,1
881,804,1
2114,3574,1
3300,466,1
1878,4762,1
1920,1165,1
2138,387,1
6318,2961,1
5620,72,1
6705,1718,2
5156,8068,1
1552,7851,1
2367,6543,1
3468,6337,1
1079,2224,1
3430,2056,1
6331,6574,1
3392,6013,1
2150,1295,1
1391,6662,1
154,5292,1
2339,6542,1
2845,2263,1
5599,4947,1
2327,5604,1
91,7360,1
6793,3926,1
6577,7144,1
6294,688,1
3689,2907,1
1630,1807,1
713,3845,1
506,3630,1
2511,7009,1
4034,4343,1
7434,850,1
3752,7462,1
807,2109,1
7763,336,1
5312,7746,1
1318,8046,1
2712,7252,1
972,6476,1
3394,7038,1
5657,5171,1
1629,2300,1
6917,2587,1
6546,7514,2
4568,5946,1
1740,3248,1
5259,1724,1
4887,5581,2
342,2263,1
4884,7633,1
1913,2432,1
3639,1969,1
2795,6502,1
3705,6634,1
3974,6527,1
2109,6204,1
491,7448,1
100,3566,1
7685,6200,1
4706,4056,1
5866,800,1
7437,3803,1
6505,4614,1
7085,5955,1
6232,4017,1
2706,6932,1
2724,7787,1
6724,4505,1
6108,3946,1
2109,3106,1
4858,2176,1
7546,4879,1
1681,2162,1
3427,5797,1
7021,879,1
3358,336,1
6557,465,1
1893,7126,1
4903,2631,1
3058,625,1
6997,1292,1
682,5237,1
1599,4681,1
3996,3119,1
6610,3188,1
865,3248,1
4309,46,1
3779,6502,1
5063,2317,1
732,6523,1
1248,7126,1
7492,7416,1
7549,7168,1
5785,3147,1
5750,4476,1
4244,3748,1
5912,6933,1
2623,7669,1
5303,7587,1
5818,6009,1
4827,7446,1
4634,5707,1
6316,2362,1
7429,6664,1
3886,5110,1
6381,1629,1
3342,306,1
6211,6100,1
6509,2732,1
2538,2308,2
4076,6554,4
4244,4766,1
2127,1517,1
6476,4906,1
133,4133,1
2503,189,1
2386,4496,1
478,5660,1
1568,7526,1
6096,6194,1
1585,4484,1
6422,1799,1
7699,2901,1
6508,1301,1
875,5294,1
3358,2562,1
1937,6782,1
5571,5629,1
6105,6444,1
2296,3560,1
3872,1589,1
2640,7187,1
2640,7356,1
6074,5862,1
1485,7953,1
58,6664,1
7698,3823,1
6164,6126,1
4422,1605,1
5276,253,1
2170,6272,1
251,2450,1
5462,4817,1
3081,3994,1
2009,7489,1
2871,3023,1
3779,4244,1
4361,2048,1
5457,8058,1
990,3432,1
2141,5813,1
741,1631,1
3880,2182,1
297,3914,1
3823,3106,1
7728,2806,1
3994,1061,1
3973,2411,1
1344,7065,1
5173,6317,1
5220,3851,1
499,7048,1
5056,2666,1
6829,1704,1
2535,6460,1
6666,7705,1
7571,3918,1
5788,6737,1
7525,6844,1
2174,7958,1
6476,473,3
7158,7370,1
6147,4927,1
1247,7817,1
2731,5,1
3094,2523,1
1246,77,1
7381,3292,1
4408,3124,1
3769,6867,1
812,6828,1
1286,4484,1
4654,5513,1
3007,3797,1
2392,4238,1
7712,3275,1
5565,4755,1
7968,5113,1
1107,861,1
5699,2469,1
3081,8034,2
3983,7840,1
3360,7556,1
4069,3446,1
5264,4919,1
2545,4915,1
4273,6420,1
2757,668,1
1802,3702,1
4374,5567,1
3662,6743,1
6388,7172,1
5182,4782,1
2018,5947,1
7255,6603,1
647,5094,1
5818,6557,1
6771,4337,1
2032,3723,1
19,4206,1
2532,6428,1
436,4345,1
1629,306,1
6845,324,1
55,5513,1
5076,2339,1
6759,4531,1
5934,7169,1
3881,7088,1
5391,4089,1
3011,1531,1
7383,7804,1
7266,3830,1
3563,4077,1
5083,4032,1
6997,7763,1
2122,1510,1
6610,1119,1
7400,2762,1
5135,5261,1
5612,5048,1
3623,7898,1
5697,236,1
6105,84,3
5779,5089,1
1704,6398,1
7847,2764,1
7177,1913,1
2854,5446,4
4508,582,1
4063,7775,1
3105,3489,1
5225,6504,1
2684,3653,1
6228,634,1
1927,7790,1
4667,3493,1
5181,3107,1
3295,2123,1
6290,4369,1
1492,5079,1
6577,5503,1
3173,2862,1
4719,272,1
4975,7321,1
4927,4703,1
6742,6130,1
558,1871,1
5181,6185,1
4549,6028,1
6982,2332,1
3957,6882,1
3094,5753,1
5560,4310,1
4400,7246,1
465,2640,1
462,1851,1
4195,2774,1
6362,7750,1
3702,1119,1
4727,3608,1
1026,2962,1
6724,3045,1
6098,258,1
641,3969,1
1403,8035,1
774,755,1
4308,3686,1
7959,3951,1
532,936,1
5215,3119,1
1802,1182,1
2905,56,1
1306,6352,1
3953,6542,1
827,4519,1
4340,2442,1
3699,1469,1
6147,768,1
7542,800,1
6326,6837,1
4913,2966,1
1436,238,1
230,7967,1
4146,448,1
540,2143,1
4304,6964,1
3565,6586,1
1728,768,1
7378,4437,1
1398,5934,1
151,4518,1
2283,2848,1
402,6421,1
1784,6752,1
5774,4640,3
485,418,1
6631,4990,1
6841,4287,1
2370,579,1
6726,4860,1
253,3081,1
4762,3026,1
2621,3320,1
5124,1290,1
3313,5121,1
6311,4182,1
3333,6588,1
6500,5479,2
3279,1410,1
55,6765,1
6252,1966,1
6542,5516,1
1017,2048,1
7629,2918,2
3198,4963,1
7818,7241,1
5314,3505,1
4431,5160,1
2945,3981,1
5669,6129,1
5565,6844,1
6381,69,1
1408,4946,1
3813,7594,1
223,3235,1
3942,6705,1
3446,947,1
926,5749,1
2043,6045,1
6107,7388,1
3186,2896,1
4105,7279,1
7919,1620,1
4906,558,1
5201,171,2
5441,947,1
4320,485,1
4530,8041,1
3601,5534,1
4927,4230,1
4818,4415,1
7441,5089,1
7815,1532,1
1935,6765,1
6204,4505,1
5368,5891,1
4862,2961,1
2353,3242,1
6767,5812,1
2010,3513,1
1603,6217,1
5043,4396,1
2513,4189,1
832,6207,1
2986,5217,1
6724,2631,1
7460,4327,1
6691,3335,1
6261,7267,1
3430,989,1
5833,1843,1
794,3014,1
5020,7443,1
3407,7549,1
7144,349,1
6946,7368,1
680,7684,1
2750,5889,1
6887,2738,1
1495,1349,1
6765,3106,1
772,2089,1
1573,888,1
6380,1368,1
4909,5254,1
5940,4864,1
1075,1972,1
7628,3679,1
3477,8004,1
3574,1627,1
7189,77,1
5755,4611,1
1232,768,1
4935,6769,2
5509,2229,1
7108,6577,1
3826,2496,1
6997,1305,1
4110,5436,1
5714,6943,1
7244,6722,1
3411,5673,1
6600,6189,2
4209,7445,1
7208,2956,1
7488,1748,1
466,4262,1
8027,6532,1
4709,928,1
2232,720,1
84,972,2
5921,1703,1
7097,4463,1
4770,7187,1
1728,4963,1
885,7980,1
1608,7312,1
3640,1301,1
1592,7918,1
1511,7326,1
4517,2734,2
5678,5135,1
7201,6348,2
2716,289,1
5757,7593,1
3362,4162,2
5464,546,1
7525,5095,1
1119,427,1
956,5951,1
2394,41,1
7299,5201,2
3708,6490,1
7503,6460,1
3752,6850,1
3462,4047,1
4940,1065,1
5698,7629,1
6347,2832,1
3989,5413,1
862,1797,1
7762,220,1
2411,6058,1
6533,2029,1
4673,68,1
5626,3014,2
6610,2631,1
2360,3669,1
1838,5655,1
7439,3504,1
1062,2182,1
2213,4506,1
4764,4874,1
4110,68,1
2765,7048,1
7933,4554,1
1646,4849,1
6359,1790,1
2846,3713,1
4182,5710,1
2446,891,1
1857,6987,1
4561,5621,1
2953,7344,1
4047,3142,1
5411,5120,1
4876,5750,1
1111,8032,1
2845,230,1
2702,6613,1
7287,2056,1
4640,1307,1
1588,3575,1
6830,6765,1
6147,4857,1
1782,476,1
3324,2170,1
1429,7715,1
4944,1409,1
2795,2348,1
1409,1413,1
4444,989,1
336,236,2
5678,2263,2
6072,5965,1
3615,4755,1
3201,272,1
499,1014,1
5814,2863,1
6505,2157,1
10,6344,1
4654,5532,1
6114,2159,1
3761,5214,1
5626,6729,1
6333,8060,1
397,6839,1
2204,3706,1
1157,51,1
6610,798,1
3579,5929,1
315,4103,1
1008,6180,1
4929,1914,1
6472,7140,2
7525,1064,1
6268,6576,1
2237,4962,1
6560,4302,1
7596,1338,1
7437,2692,1
7900,2981,1
3625,7208,1
6630,3373,1
6350,6869,1
5147,6220,1
4360,3456,1
3943,3377,1
6163,1070,1
7553,3235,1
4244,4505,1
7084,7763,1
1658,731,1
4688,5313,1
743,4239,1
8041,4147,1
2128,7021,1
51,1231,1
7606,7556,1
2294,5814,1
3957,790,1
7839,2495,1
6829,3143,1
4001,4614,1
5655,4907,1
5842,1413,1
962,1123,1
7411,1645,2
4334,448,1
465,364,1
2672,6420,1
7498,3831,1
893,6005,1
371,219,1
1238,2986,1
3731,2511,1
2898,1501,1
4048,5302,1
3440,3943,1
1297,2723,1
1106,7763,1
2131,5018,1
5484,7944,1
5829,579,1
5196,4776,1
4155,189,1
3902,3266,1
7441,3358,1
1271,7421,1
2522,6850,1
745,1001,1
7068,5809,1
5457,6605,1
3124,1529,1
1236,982,1
6995,8001,1
1156,6945,1
4585,316,2
2702,4058,1
7597,3335,1
5977,1560,1
5935,3198,1
7100,2981,1
3087,2502,2
6013,1624,1
4047,3744,1
2860,4239,1
6505,6079,1
5236,901,1
7403,2264,1
4722,100,1
1253,2026,1
2946,4755,1
4023,1140,1
4879,1943,1
5181,7048,1
2912,6909,1
4273,3210,1
5844,4462,1
4561,1873,1
7565,7026,1
595,3463,1
427,3234,1
3689,232,1
631,4303,1
914,7452,1
5757,2706,1
7144,3259,1
1838,5513,1
6116,944,1
7625,3014,1
7474,4418,1
3550,4462,1
7155,6032,1
7642,6777,1
781,4839,1
